game,reward
68200,530.575
68300,534.3
68400,536.666666667
68500,530.291666667
68600,536.716666667
68700,527.891666667
68800,523.091666667
68900,519.666666667
69000,514.8
69100,522.891666667
69200,518.15
69300,518.141666667
69400,525.216666667
69500,532.358333333
69600,531.175
69700,528.816666667
69800,530.6
69900,534.166666667
70000,534.908333333
70100,531.958333333
70200,532.441666667
70300,533.541666667
70400,530.541666667
70500,532.408333333
70600,533.616666667
70700,533.741666667
70800,537.1
70900,531.0
71000,530.225
71100,525.141666667
71200,519.708333333
71300,512.15
71400,510.425
71500,514.65
71600,515.866666667
71700,519.983333333
71800,524.108333333
71900,529.191666667
72000,527.558333333
72100,524.691666667
72200,523.408333333
72300,517.9
72400,520.266666667
72500,520.058333333
72600,520.05
72700,523.75
72800,525.375
72900,534.191666667
73000,528.316666667
73100,533.291666667
73200,533.966666667
73300,534.558333333
73400,535.0
73500,531.833333333
73600,536.041666667
73700,531.2
73800,531.55
73900,533.95
74000,540.175
74100,535.766666667
74200,538.433333333
74300,541.516666667
74400,542.9
74500,537.316666667
74600,527.933333333
74700,526.458333333
74800,513.091666667
74900,510.775
75000,515.141666667
75100,520.683333333
75200,518.916666667
75300,521.4
75400,509.041666667
75500,510.458333333
75600,504.4
75700,495.875
75800,500.425
75900,503.0
76000,525.95
76100,523.283333333
76200,528.933333333
76300,536.183333333
76400,537.258333333
76500,536.816666667
76600,528.525
76700,530.733333333
76800,528.233333333
76900,524.583333333
77000,520.066666667
77100,519.141666667
77200,526.083333333
77300,519.533333333
77400,516.375
77500,509.258333333
77600,505.175
77700,507.333333333
77800,502.375
77900,513.358333333
78000,514.65
78100,521.183333333
78200,529.825
78300,530.516666667
78400,535.075
78500,530.625
78600,528.475
78700,530.941666667
78800,533.241666667
78900,536.875
79000,539.55
79100,536.591666667
79200,538.433333333
79300,539.591666667
79400,541.916666667
79500,543.283333333
79600,536.083333333
79700,542.425
79800,545.933333333
79900,543.1
80000,535.225
80100,528.333333333
80200,536.591666667
80300,532.7
80400,534.966666667
80500,539.283333333
80600,548.025
80700,542.066666667
80800,532.608333333
80900,530.983333333
81000,528.575
81100,528.458333333
81200,520.933333333
81300,529.916666667
81400,534.266666667
81500,538.525
81600,536.425
81700,534.758333333
81800,538.591666667
81900,531.841666667
82000,529.041666667
82100,521.733333333
82200,528.933333333
82300,530.025
82400,526.075
82500,527.041666667
82600,529.275
82700,539.366666667
82800,537.916666667
82900,534.483333333
83000,536.041666667
83100,539.85
83200,543.091666667
83300,536.55
83400,528.65
83500,535.425
83600,534.341666667
83700,536.383333333
83800,538.775
83900,544.391666667
84000,547.9
84100,542.258333333
84200,541.725
84300,539.466666667
84400,531.866666667
84500,531.45
84600,536.125
84700,533.691666667
84800,535.9
84900,539.05
85000,537.516666667
85100,534.716666667
85200,528.625
85300,533.658333333
85400,537.875
85500,533.766666667
85600,544.758333333
85700,553.733333333
85800,553.258333333
85900,551.358333333
86000,549.95
86100,558.208333333
86200,553.941666667
86300,550.1
86400,555.116666667
86500,558.483333333
86600,555.066666667
86700,550.966666667
86800,552.858333333
86900,549.616666667
87000,547.225
87100,549.483333333
87200,551.508333333
87300,551.608333333
87400,551.533333333
87500,552.708333333
87600,555.858333333
87700,550.008333333
87800,546.316666667
87900,546.033333333
88000,547.125
88100,544.808333333
88200,536.991666667
88300,538.541666667
88400,542.725
88500,545.425
88600,539.55
88700,545.075
88800,550.591666667
88900,549.116666667
89000,546.441666667
89100,540.966666667
